word,count
메르스,1
환자,1
절반,1
초기,1
격리,1
돈키호테,1
생각,1
스트레칭,1
청와대,1
개정,1
국회법,1
삼권분립,1
위배,1
공격,1
여당,1
의원,1
명의,1
공개,1
반격,1
정부,1
원전,1
광화문,1
글판,1
여름,1
모리,1
화요일,1
지금,1
순간,1
서명,1
발효,1
한국,1
출품,1
관세,1
철폐,1
새정치,1
윤리,1
심판원,1
안병욱,1
교수,1
선임,1
대통령,1
아베,1
담화,1
관계,1
개선,1
기회,1
금강,1
조정,1
경기장,1
주변,1
공주,1
경비행기,1
이착륙,1
방치,1
주민,1
자연,1
하천,1
섬진강,1
뿌듯,1
훼손,1
재첩,1
김상곤,1
내년,1
총선,1
출마,1
진정,1
의심,1
누리,1
과정,1
시행,1
법률,1
지목,1
황교안,1
청문회,1
사흘,1
노회찬,1
채동욱,1
증인,1
참고인,1
채택,1
국가경쟁력,1
친박,1
경쟁력,1
강화,1
포럼,1
국회,1
사무,1
행정입법,1
침해,1
청와대,1
국민,1
도부,1
압박,1
대통령,1
정부,1
메르스,1
초기,1
대응,1
미흡,1
인정,1
입원,1
복지부,1
의심,1
환자,1
통보,1
결집,1
친박,1
비박,1
총선,1
주도,1
쟁탈전,1
시작,1
메르스,1
최초,1
환자,1
접촉,1
감염,1
의심,1
여성,1
사망,1
금융위기,1
이후,1
자릿수,1
수출,1
급감,1
대통령,1
국회,1
전쟁,1
선포,1
개정,1
국회법,1
거부권,1
시사,1
시민,1
공정,1
원전,1
건설,1
중단,1
정부,1
에너지,1
절감,1
지원,1
시민,1
전기,1
생산,1
거대,1
전력,1
회사,1
물리,1
중국,1
태양광,1
풍력,1
지원,1
재생에너지,1
원전,1
발전,1
차액,1
원제,1
재생에너지,1
보급,1
한국,1
태평양,1
횡단,1
도전,1
태양광,1
비행기,1
악천후,1
회항,1
인도,1
성장,1
정말,1
스노,1
폭로,1
발도,1
개혁,1
공안,1
인터넷,1
감시,1
리펑,1
중국,1
총리,1
사망설,1
이스라엘,1
겨냥,1
돌팔매,1
처벌,1
강화,1
경남,1
기업,1
자금,1
일부,1
대선,1
캠프,1
유입,1
포착,1
지구,1
바퀴,1
케리,1
자전거,1
사고,1
이유,1
테헤란,1
성형,1
광풍,1
전문의,1
무면허,1
영원,1
석유,1
공사,1
사장,1
우량,1
기업,1
부실,1
베스트,1
졸속,1
인수,1
요즘,1
도청,1
방지,1
업체,1
기관,1
조사,1
성희롱,1
무죄,1
해경,1
