word,count
헌법,1
다시,1
시민,1
계약,1
프롤로그,1
헌법,1
황금,1
개띠,1
날개,1
한복,1
그대,1
아무,1
걱정,1
새해,1
경향신문,1
평창,1
참가,1
용의,1
남북,1
대화,1
제안,1
평창,1
구상,1
현실,1
가능성,1
생명,1
자본,1
이어령,1
예고,1
전략,1
변화,1
정부,1
공조,1
남북,1
대화,1
추진,1
숙제,1
트럼프,1
언론,1
유화,1
제스처,1
주목,1
단어,1
차례,1
경제,1
차례,1
언급,1
김정은,1
민족,1
끼리,1
북남관계,1
과감,1
가야,1
와일드카드,1
가능성,1
평화,1
올림픽,1
실현,1
흥행,1
신호,1
인스브루크,1
올림픽,1
출전,1
은메달,1
획득,1
출전,1
불참,1
반복,1
토리노,1
남북,1
공동,1
입장,1
국방,1
통계,1
연보,1
대령,1
억대,1
연봉,1
대장,1
이병,1
정국,1
이슈,1
원전,1
수출,1
질문,1
이면,1
계약,1
남매,1
사망,1
광주,1
아파트,1
화재,1
엄마,1
구조,1
일자리,1
뒷돈,1
촉탁,1
경비원,1
비애,1
추자도,1
인근,1
전복,1
어선,1
위치,1
발신기,1
구조,1
지연,1
하차,1
요구,1
무시,1
목적지,1
택시,1
기사,1
감금죄,1
고준희,1
친부,1
동거,1
폭행,1
모습,1
목격,1
진술,1
노숙자,1
사람,1
대접,1
천국,1
작년,1
영화,1
관객,1
역대,1
매년,1
채용,1
반복,1
노동자,1
원세훈,1
김재철,1
최경환,1
다스,1
신년,1
적폐,1
수사,1
부고,1
인사,1
트럼프,1
미국,1
시진핑,1
국제,1
질서,1
수호,1
메르켈,1
마크,1
유럽,1
결속,1
인류,1
돼지,1
독감,1
누명,1
시작,1
박성진,1
이야기,1
평화,1
정작,1
훈련,1
한국,1
주인,1
미국,1
반도체,1
기업,1
삼성,1
하이닉스,1
상대,1
특허,1
침해,1
소송,1
후배,1
제발,1
아이스하키,1
축구,1
하키,1
공격수,1
스케이트,1
앞쪽,1
갈고,1
수비수,1
선호,1
경험,1
능력,1
수석,1
형님,1
인생,1
비행,1
막판,1
새해,1
인사,1
고속도로,1
추돌사고,1
운전자,1
도주,1
자수,1
박용만,1
정부,1
성적표,1
경제,1
실적,1
기업,1
방탄소년단,1
미국,1
신년,1
어스,1
로킹,1
이브,1
출연,1
개꿈,1
신춘,1
계절,1
문학,1
대한,1
단상,1
배꼽,1
노송나무,1
주인공,1
나야,1
비리,1
사학,1
먹튀,1
방지법,1
타임머신,1
식나무,1
트럼프,1
법인세,1
허상,1
좇다간,1
애플,1
사과,1
대통령,1
과제,1
김정은,1
남북,1
대화,1
신년사,1
환영,1
동맹,1
관성,1
여야,1
선거,1
제도,1
개편,1
집중,1
하라,1
개혁,1
입법,1
국회,1
사위,1
평론,1
부문,1
당선,1
아영,1
유토피아,1
대해,1
평론,1
부문,1
당선,1
소감,1
세상,1
평론,1
부문,1
심사평,1
시대,1
감수성,1
비평,1
주체성,1
견지,1
논리,1
충주,1
부부,1
피살,1
사건,1
용의자,1
막내아들,1
구속영장,1
신청,1
버락,1
오바마,1
대통령,1
취임,1
가족,1
예전,1
방호복,1
착용,1
점점,1
이란,1
시위,1
대통령,1
비판,1
자유,1
폭력,1
광주,1
화재,1
남매,1
사망,1
사건,1
친모,1
구속영장,1
신청,1
트럼프,1
대통령,1
김정은,1
단추,1
언급,1
사상,1
오른,1
아홉수,1
대통령,1
국민,1
타자,1
이승엽,1
선수,1
신년인사,1
전화,1
부동산,1
보합,1
비디오,1
곳오,1
엔씨소프트,1
유연,1
무제,1
도입,1
게임,1
업계,1
근무,1
문화,1
개선,1
빅뱅,1
멤버,1
입대,1
마지막,1
콘서트,1
산재,1
신청,1
경찰서,1
가도,1
교통사고,1
사실,1
확인,1
가능,1
어서,1
처음,1
신호,1
위반,1
구급차,1
음주운전,1
차량,1
충돌,1
신생아,1
관객,1
돌파,1
천만,1
영화,1
눈앞,1
이명박,1
이면,1
계약,1
청와대,1
시기,1
장소,1
형식,1
구애,1
북한,1
대화,1
신간,1
서울대,1
의대,1
윤영,1
교수,1
습관,1
건강,1
인파,1
불꽃,1
새해,1
맞이,1
풍경,1
세계,1
정상,1
신년사,1
메시지,1
금융,1
지주,1
은행,1
신년사,1
혁신,1
디지털,1
통합,1
성장,1
공교육,1
정상화,1
초등,1
서열,1
영어,1
사교육,1
풍선,1
효과,1
우려,1
반도체,1
작년,1
사상,1
최대,1
수출,1
효자,1
디스플레이,1
세계,1
가전,1
인공,1
지능,1
전면,1
하교,1
택시,1
모든,1
고교,1
확대,1
운행,1
일본,1
언론,1
김정은,1
신년사,1
신속,1
보도,1
단추,1
위협,1
대화,1
모색,1
가능성,1
인천,1
물동량,1
월별,1
역대,1
최대,1
독도함,1
맞이,1
평창,1
동계올림픽,1
성공,1
개최,1
기원,1
고교,1
무상,1
교복,1
실현,1
결론,1
전망,1
북적,1
북적,1
경기,1
서점,1
학교,1
수강생,1
선착순,1
모집,1
일본,1
요미우리신문,1
중러,1
기업,1
대북,1
석유,1
밀수출,1
실태,1
문서,1
확인,1
새해,1
모든,1
술술,1
덩더쿵,1
무술년,1
첫날,1
긴급,1
차량,1
진출,1
해돋이,1
관광객,1
안전,1
불감증,1
신년,1
카드,1
원폭,1
피해,1
소년,1
교황,1
한양도성,1
흔적,1
다시,1
아홉수,1
부디,1
화천,1
양구,1
소방,1
신설,1
상반기,1
완공,1
부산,1
앞바다,1
맞이,1
서핑,1
돌풍,1
표류,1
해경,1
전원,1
구조,1
제주,1
바닷,1
비경,1
선정,1
관광,1
상품,1
개발,1
일본,1
통신망,1
무력,1
공격기,1
도입,1
검토,1
무장,1
강화,1
박차,1
정당,1
독서,1
상권,1
신년,1
하례,1
유승민,1
추천,1
도서,1
대한민국,1
헌법,1
청년,1
알바,1
음식점,1
임금,1
체불,1
최저임금,1
위반,1
대통령,1
새해,1
국민,1
보답,1
소망,1
동대구역,1
맞이,1
주차장,1
유료,1
개방,1
세계,1
영화,1
시장,1
중국,1
흥행,1
절반,1
자국,1
이명박,1
질문,1
국가,1
도움,1
피신,1
남매,1
엄마,1
경찰,1
수사,1
집중,1
참배,1
유승민,1
유승민,1
현충원,1
참배,1
트럼프,1
트위터,1
새해,1
인사,1
미국,1
다시,1
마을,1
헌법,1
현충원,1
참배,1
안철수,1
참배,1
안철수,1
영상,1
뉴스,1
헌법,1
하나요,1
다시,1
시민,1
계약,1
참배,1
홍준표,1
홍준표,1
현충원,1
참배,1
가족,1
준희,1
사람,1
추미애,1
현충원,1
참배,1
현충원,1
참배,1
추미애,1
대표,1
시진핑,1
신년사,1
빈곤,1
의지,1
두보,1
속담,1
인용,1
산악,1
대원,1
기념,1
촬영,1
문재인,1
대통령,1
가상,1
화폐,1
실명,1
전환,1
당분간,1
신규,1
거래,1
홍준표,1
단배식,1
인공,1
은행,1
달력,1
등장,1
세상,1
북한,1
새해,1
일출,1
문재인,1
대통령,1
새해,1
북한,1
등반,1
문재인,1
대통령,1
지난해,1
극장,1
관객수,1
역대,1
한국영,1
흥행,1
유엔,1
사무,1
총장,1
신년사,1
세계,1
적색,1
경보,1
적폐,1
청산,1
나라,1
지방선거,1
승리,1
대통령,1
새해,1
일정,1
의인,1
북한,1
산행,1
헌법,1
논쟁,1
시작,1
서울,1
지하철,1
무기계약직,1
정규직,1
아베,1
국가,1
만들기,1
위해,1
개혁,1
추진,1
개헌,1
추진,1
의욕,1
여전,1
부산,1
서구,1
청사,1
복합,1
건물,1
청사,1
임대주택,1
가구,1
기간,1
근로자,1
정규직,1
전환,1
대한항공,1
인천,1
양양,1
국제선,1
환승,1
전용,1
내항,1
북한,1
김정은,1
평창올림픽,1
대표,1
파견,1
용의,1
김정은,1
단추,1
사무실,1
책상,1
항상,1
김정은,1
단추,1
책상,1
차량,1
남성,1
가족,1
신고,1
경찰,1
구조,1
용인,1
가족,1
살해,1
중순,1
송환,1
문무,1
검찰총장,1
수사권,1
조정,1
합리,1
방안,1
마련,1
최선,1
준공,1
예정,1
센토,1
피아,1
롯데,1
캐슬,1
제주,1
추자도,1
해상,1
어선,1
전복,1
구조,1
사망,1
실종,1
경향신문,1
신년,1
기획,1
헌법,1
다시,1
시민,1
계약,1
의정부,1
아파트,1
화재,1
사건,1
재판,1
경부,1
속도,1
양산,1
인근,1
추돌,1
이어진,1
사고,1
사망,1
연내,1
처리,1
약속,1
정책,1
상당수,1
새해,1
새해,1
식량,1
조국,1
본격,1
합류,1
중동,1
아프리카,1
제주,1
전복,1
어선,1
명벌,1
발견,1
의식,1
불명,1
대통령,1
신년사,1
포인트,1
국민,1
개선,1
사정,1
대화,1
통한,1
고통,1
분담,1
평창,1
올림픽,1
성공,1
개최,1
의자,1
평창,1
참가,1
용의,1
남북,1
대화,1
제안,1
롯데,1
그룹,1
비상,1
열사,1
흡수,1
합병,1
지주회사,1
출범,1
순환,1
출자,1
해소,1
새해,1
경향신문,1
경제,1
전문가,1
부동산,1
유세,1
떡국,1
나눔,1
새해,1
맞이,1
특별사면,1
다시,1
운전면허,1
우편물,1
가득,1
초소,1
전기차,1
서울시,1
플러스,1
홈페이지,1
통합,1
화재,1
대피,1
목욕탕,1
서울,1
수두,1
경기,1
택시,1
환승,1
할인,1
도입,1
추진,1
인천공항,1
지난해,1
이용,1
제주,1
미분,1
주택,1
가구,1
판문점,1
열자,1
생활,1
동반,1
가족,1
내년,1
주년,1
대한민국,1
임시정부,1
기념관,1
실록,1
통일벼,1
완주,1
김명수,1
대법원,1
신년사,1
법관,1
독립,1
위해,1
중립,1
기구,1
설치,1
행방불명,1
신청,1
피해자,1
인정,1
한반도,1
급속,1
대화,1
모드,1
진입,1
군사,1
회담,1
중단,1
접촉,1
물꼬,1
가능성,1
미국,1
통일,1
대응,1
